Sample_decription,Site,Location,Date,TotN,NH4,Nox,TotKjN,BD_totalN,Urea,TSS,Ca ,Mg ,Na ,K,S ,P ,TotC,TotOrgC,DissOrgC,DissOrgN,TotDissN,TotSusN,DissKjN,TotSusP,DissOrgP,DissKjP
TF+_NESP_North_East_Drain,Silkwood,NE_corner_drain,1/12/2017,0.25,0.051,0.006,0.24,0.30,0,1,3.1,0.7,5,0,0,0,,2.3,1.7,0.11,0.17,0.08,0.16,0,0,0
TF+_NESP_Silkwood_North_Drain,Silkwood,North_drain,1/12/2017,0.16,0.006,0.001,0.16,0.17,0.008,3,2.1,0.6,6,0,0,0,,2.6,2.2,0.11,0.12,0.05,0.11,0,0,0
TF+_NESP_Silkwood_South_Drain,Silkwood,South_drain,1/12/2017,0.3,0.007,0.004,0.29,0.30,0,2,2.2,0.6,5,0,0,0,,2.2,1.2,0.12,0.13,0.17,0.13,0,0,0
TF+_NESP_Silkwood_Esky_Drain_S2,Silkwood,Stn2_esky_drain,1/12/2017,1.65,1.01,0.024,1.62,2.65,0.005,3,5.1,0.9,6,5,1.05,0,,3.4,2.3,0.23,1.26,0.38,1.24,0.02,0,0
TF+_NESP_Silkwood_Esky_Drain_S4,Silkwood,Stn4_esky_drain,1/12/2017,0.31,0.049,0.018,0.3,0.37,0.006,3,5.6,0.8,6,4,0,0,,3.2,2.7,0.19,0.26,0.05,0.24,0,0,0
TF+_NESP_Silkwood_Piezo_Stn2,Silkwood,Stn2_piezo,1/12/2017,,0.316,0.01,,0.33,0.011,,,,,,,,,,,,,,,,,
TF+_NESP_Silkwood_Piezo_Stn3,Silkwood,Stn3_piezo,1/12/2017,,0.008,0.004,,0.01,0,,6.1,0.7,6,0,1.04,0,,,,,,,,,,
TF+_NESP_Silkwood_North_East_Drain,Silkwood,NE_corner_drain,5/12/2017,0.19,0.005,0.002,0.19,0.20,0,3,2.9,0.7,5,0,0,0,,1.5,1.2,0.15,0.15,0.04,0.15,0,0,0
TF+_NESP_Silkwood_Esky_Drain_S2,Silkwood,Stn2_esky_drain,5/12/2017,,0.142,0.167,,0.31,0,,3.4,0.7,5,2,1.28,0,,,,,,,,,,
TF+_NESP_Silkwood_Esky_Drain_S4,Silkwood,Stn4_esky_drain,5/12/2017,,0.02,0.026,,0.05,0,,4,0.6,6,2,0.96,0,,,,,,,,,,
TF+_NESP_Silkwood_Piezo_Stn2,Silkwood,Stn2_piezo,5/12/2017,,0.018,0.016,,0.03,0.04,,2.7,0.7,6,0,1.32,0,,,,,,,,,,
TF+_NESP_Silkwood_Piezo_Stn3,Silkwood,Stn3_piezo,5/12/2017,,0.014,0.004,,0.02,0.042,,6.7,0.9,7,0,1.46,0,,,,,,,,,,
TF+_NESP_Silkwood_North_Drain,Silkwood,North_Drain,17/01/2018,3.08,0.328,1.72,1.36,3.41,0.03,17,2.9,1.1,3,4,1.03,0,,5.2,5.1,0.63,2.68,0.4,0.96,0.04,0,0.03
TF+_NESP_Silkwood_North_East_D,Silkwood,NE_corner_drain,17/01/2018,2.87,0.108,1.92,0.95,2.98,0.01,15,3.2,1,3,6,1.72,0,,5.5,5,0.7,2.72,0.15,0.8,0.04,0,0.09
TF+_NESP_Silkwood_South_Drain,Silkwood,South_drain,17/01/2018,1.11,0.089,0.727,0.38,1.20,0,4,2.8,0.9,4,0,0.91,0,,2.1,1.9,0.19,1,0.11,0.27,0,0,0
TF+_NESP_Silkwood_North_East_D,Silkwood,NE_corner_drain,19/01/2018,0.9,0.023,0.555,0.34,0.92,0.085,,3.4,1,4,2,1.34,0,,2.8,2.6,0.26,0.84,0.06,0.28,0,0,0
TF+_NESP_Silkwood_North_Drain,Silkwood,North_Drain,19/01/2018,0.43,0.012,0.22,0.21,0.44,0.005,,2.3,0.9,5,0,0.93,0,,2.3,1.9,0.14,0.37,0.06,0.15,0,0,0
TF+_NESP_Silkwood_South_Drain,Silkwood,South_drain,19/01/2018,0.15,0.004,0.048,0.1,0.15,0.009,,2,0.6,3,0,0,0,,1.1,0.9,0.07,0.13,0,0.08,0,0,0
TF+_NESP_Silkwood_Esky_Drain_S,Silkwood,Stn2_esky_drain,19/01/2018,5.18,0.154,5.16,0,5.31,0.007,,8.4,1.6,5,7,0,0,,1.5,1.4,0,5.18,0,0,0,0,0
TF+_NESP_Silkwood_Esky_Drain_S,Silkwood,Stn4_esky_drain,19/01/2018,0.17,0.008,0.028,0.14,0.18,0.055,,5.7,1,6,5,0.96,0,,2.1,2.1,0.13,0.17,0,0.14,0,0,0
TF+_NESP_Silkwood_Piezo_Stn2,Silkwood,Stn2_piezo,19/01/2018,,0.004,0.224,,0.23,0.071,,6.3,0.8,5,0,1.2,0,,,,,,,,,,
TF+_NESP_Silkwood_Piezo_Stn3,Silkwood,Stn3_piezo,19/01/2018,,0.184,3.84,,4.02,0.007,,7.8,1.2,5,4,0.89,0,,,,,,,,,,
